Unnamed: 0,Date,Close,pred_sig
0.0,2024-10-24 00:00:00+00:00,492.3200073242188,-1
4.0,2024-10-28 00:00:00+00:00,495.3999938964844,0
5.0,2024-10-29 00:00:00+00:00,500.1600036621094,1
6.0,2024-10-30 00:00:00+00:00,496.3800048828125,-1
7.0,2024-10-31 00:00:00+00:00,483.8500061035156,-1
8.0,2024-11-01 00:00:00+00:00,487.4299926757813,1
11.0,2024-11-04 00:00:00+00:00,486.010009765625,0
12.0,2024-11-05 00:00:00+00:00,492.2099914550781,0
13.0,2024-11-06 00:00:00+00:00,505.5799865722656,1
14.0,2024-11-07 00:00:00+00:00,513.5399780273438,-1
15.0,2024-11-08 00:00:00+00:00,514.1400146484375,1
18.0,2024-11-11 00:00:00+00:00,513.8400268554688,0
19.0,2024-11-12 00:00:00+00:00,512.9099731445312,0
20.0,2024-11-13 00:00:00+00:00,512.25,0
21.0,2024-11-14 00:00:00+00:00,508.6900024414063,0
22.0,2024-11-15 00:00:00+00:00,496.5700073242188,-1
25.0,2024-11-18 00:00:00+00:00,500.0199890136719,-1
26.0,2024-11-19 00:00:00+00:00,503.4599914550781,1
27.0,2024-11-20 00:00:00+00:00,503.1700134277344,0
28.0,2024-11-21 00:00:00+00:00,504.9800109863281,1
29.0,2024-11-22 00:00:00+00:00,505.7900085449219,1
,2024-11-25 00:00:00+00:00,506.5899963378906,1
,2024-11-27 00:00:00+00:00,505.2999877929688,0
,2024-12-02 00:00:00+00:00,515.2899780273438,0
,2024-12-03 00:00:00+00:00,516.8699951171875,0
,2024-12-04 00:00:00+00:00,523.260009765625,0
,2024-12-05 00:00:00+00:00,521.8099975585938,-1
,2024-12-06 00:00:00+00:00,526.47998046875,-1
,2024-12-09 00:00:00+00:00,522.3800048828125,1
,2024-12-10 00:00:00+00:00,520.5999755859375,1
,2024-12-11 00:00:00+00:00,529.9199829101562,1
,2024-12-12 00:00:00+00:00,526.5,-1
,2024-12-13 00:00:00+00:00,530.530029296875,0
,2024-12-16 00:00:00+00:00,538.1699829101562,-1
,2024-12-17 00:00:00+00:00,535.7999877929688,-1
,2024-12-18 00:00:00+00:00,516.469970703125,-1
,2024-12-19 00:00:00+00:00,514.1699829101562,1
,2024-12-20 00:00:00+00:00,518.6599731445312,1
,2024-12-23 00:00:00+00:00,522.8699951171875,-1
,2024-12-26 00:00:00+00:00,529.5999755859375,0
,2024-12-27 00:00:00+00:00,522.5599975585938,-1
,2024-12-27 00:00:00+00:00,522.5599975585938,-1
,2024-12-31 00:00:00+00:00,511.2300109863281,-1
,2024-12-31 00:00:00+00:00,511.2300109863281,-1
